"lp";"kod";"obszar";"iteracja";"nazwa_przeplywu";"typ";"profil";"target_end_time";"critical_end_time";"wersja";"opis_pliku";"sciezka_pliku";"zrodlo";"kontakt";"popup_html";"uwagi";"confluence_storage"
"1";"FID1-928";"IDCC(a) - ATC Based Validation";"IDCC(a)";"ATC Based Validation";"928";"2CCT";"13:40";"14:20";"1";"ATC Based Validation (FID1-928) — plik ZWROTNY: wynik walidacji ATC prowadzonej centralnie w Core CC Tool (strumień odrębny od FBA). NIE jest wysyłany przez TSO; publikowany CCCt → TSO przez Connector 2.0.";"Paczka ATC (PERUN_IDx_ATC) → Core CC Tool [N02] (walidacja ATC) → Connector 2.0 [N05] → CCM [N01]";"Core CC Tool (N02)";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"Przyklady_FID1-928_popup.html";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID1-928 — ATC Based Validation (IDCC(a))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> ATC Based Validation (FID1-928) — plik ZWROTNY: wynik walidacji ATC prowadzonej centralnie w Core CC Tool (strumień odrębny od FBA). NIE jest wysyłany przez TSO; publikowany CCCt → TSO przez Connector 2.0.</p><p><strong>Ścieżka pliku:</strong> Paczka ATC (PERUN_IDx_ATC) → Core CC Tool [N02] (walidacja ATC) → Connector 2.0 [N05] → CCM [N01]</p><p><strong>Źródło:</strong> Core CC Tool (N02) &nbsp;|&nbsp; <strong>Profil:</strong> 2CCT &nbsp;|&nbsp; <strong>TET:</strong> 13:40 &nbsp; <strong>CET:</strong> 14:20 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"2";"FID1-831";"IDCC(a) - Allocation Constraints";"IDCC(a)";"AC";"831";"2CCT";"13:50";"14:45";"2";"AC (Allocation Constraints, FID1-831) — plik z wartościami ograniczeń alokacyjnych wyznaczonych przez PSE, publikowany do PuTo i do procesu Core. Format XML, MTU 15 min.";"ZP [N06] → Connector 2.0 [N05] → Core CC Tool [N02] → PuTo [N10] + MinIO [N04]";"ZP (N06)";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"Przyklady_FID1-831_popup.html";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID1-831 — AC (IDCC(a))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> AC (Allocation Constraints, FID1-831) — plik z wartościami ograniczeń alokacyjnych wyznaczonych przez PSE, publikowany do PuTo i do procesu Core. Format XML, MTU 15 min.</p><p><strong>Ścieżka pliku:</strong> ZP [N06] → Connector 2.0 [N05] → Core CC Tool [N02] → PuTo [N10] + MinIO [N04]</p><p><strong>Źródło:</strong> ZP (N06) &nbsp;|&nbsp; <strong>Profil:</strong> 2CCT &nbsp;|&nbsp; <strong>TET:</strong> 13:50 &nbsp; <strong>CET:</strong> 14:45 &nbsp; <strong>Wersja:</strong> 2</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"3";"FID1-921";"IDCC(a) - Finalne wyniki NTC";"IDCC(a)";"Final Intraday NTC";"921";"SFTP";"14:45";"14:55";"1";"Final Intraday NTC (FID1-921) — finalne wyniki NTC (Net Transfer Capacity) z procesu IDCC; zdolności przesyłowe udostępniane na rynek intraday (XBID).";"proces Core / Kreator → sFTP [N12] / ZP";"proces Core";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID1-921 — Final Intraday NTC (IDCC(a))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Final Intraday NTC (FID1-921) — finalne wyniki NTC (Net Transfer Capacity) z procesu IDCC; zdolności przesyłowe udostępniane na rynek intraday (XBID).</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → sFTP [N12] / ZP</p><p><strong>Źródło:</strong> proces Core &nbsp;|&nbsp; <strong>Profil:</strong> SFTP &nbsp;|&nbsp; <strong>TET:</strong> 14:45 &nbsp; <strong>CET:</strong> 14:55 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"4";"FID1-250";"IDCC(a) - Shadow Auction";"IDCC(a)";"MD250";"250";"SFTP";"17:24";"17:58";"1";"MD250 — Shadow Auction Results (FID1-250) — wyniki aukcji rezerwowej wymieniane z CCCt przez ECP/EDX przy decouplingu SDAC. Deadline 1 ~15:43 (TET MCR), Deadline 2 ~17:24.";"ECP/EDX [N16] ↔ Core CC Tool [N02]";"ECP/EDX (N16)";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID1-250 — MD250 (IDCC(a))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> MD250 — Shadow Auction Results (FID1-250) — wyniki aukcji rezerwowej wymieniane z CCCt przez ECP/EDX przy decouplingu SDAC. Deadline 1 ~15:43 (TET MCR), Deadline 2 ~17:24.</p><p><strong>Ścieżka pliku:</strong> ECP/EDX [N16] ↔ Core CC Tool [N02]</p><p><strong>Źródło:</strong> ECP/EDX (N16) &nbsp;|&nbsp; <strong>Profil:</strong> SFTP &nbsp;|&nbsp; <strong>TET:</strong> 17:24 &nbsp; <strong>CET:</strong> 17:58 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"5";"DACF_IGM_UCT";"IDCC(b) - Dane wejściowe Initial TSO receiving";"IDCC(b)";"24 modele IGM";"IGM";"SFTP";"20:00";"20:19";"1";"24 modele IGM (DACF_IGM_UCT) — indywidualne modele sieci (Individual Grid Model) na 24 godziny doby, format UCT/CGMES; przygotowanie i eksport TSO Data Preparation.";"KreatorIDCF/2DAF [N07/N08] → sFTP [N12] (Swissgrid)";"Kreator (N07/N08)";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">DACF_IGM_UCT — 24 modele IGM (IDCC(b))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> 24 modele IGM (DACF_IGM_UCT) — indywidualne modele sieci (Individual Grid Model) na 24 godziny doby, format UCT/CGMES; przygotowanie i eksport TSO Data Preparation.</p><p><strong>Ścieżka pliku:</strong> KreatorIDCF/2DAF [N07/N08] → sFTP [N12] (Swissgrid)</p><p><strong>Źródło:</strong> Kreator (N07/N08) &nbsp;|&nbsp; <strong>Profil:</strong> SFTP &nbsp;|&nbsp; <strong>TET:</strong> 20:00 &nbsp; <strong>CET:</strong> 20:19 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"6";"FID2-607";"IDCC(b) - Dane wejściowe Initial TSO receiving";"IDCC(b)";"GLSK";"607";"2CCT";"20:00";"20:19";"1";"GLSK (Generation and Load Shift Keys, FID2-607) — klucze rozdziału zmian generacji/obciążenia dla strefy PL; dane wejściowe Initial TSO receiving.";"KreatorIDCF/DACF [N07/N08] → Connector 2.0 [N05] → Core CC Tool [N02] → MinIO [N04]";"Kreator (N07/N08)";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"Przyklady_FID2-607_popup.html";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID2-607 — GLSK (IDCC(b))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> GLSK (Generation and Load Shift Keys, FID2-607) — klucze rozdziału zmian generacji/obciążenia dla strefy PL; dane wejściowe Initial TSO receiving.</p><p><strong>Ścieżka pliku:</strong> KreatorIDCF/DACF [N07/N08] → Connector 2.0 [N05] → Core CC Tool [N02] → MinIO [N04]</p><p><strong>Źródło:</strong> Kreator (N07/N08) &nbsp;|&nbsp; <strong>Profil:</strong> 2CCT &nbsp;|&nbsp; <strong>TET:</strong> 20:00 &nbsp; <strong>CET:</strong> 20:19 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"7";"FID2-617";"IDCC(b) - Dane wejściowe Initial TSO receiving";"IDCC(b)";"CBCORA";"617";"2CCT";"20:00";"20:19";"1";"CBCORA (Critical Branches & Critical Outages with Remedial Actions, FID2-617) — lista krytycznych elementów sieci (CNEC) PSE wraz z wyłączeniami; dane wejściowe TSO.";"KreatorIDCF/DACF [N07/N08] → Connector 2.0 [N05] → Core CC Tool [N02] → MinIO [N04]";"Kreator (N07/N08)";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"Przyklady_FID2-617_popup.html";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID2-617 — CBCORA (IDCC(b))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> CBCORA (Critical Branches &amp; Critical Outages with Remedial Actions, FID2-617) — lista krytycznych elementów sieci (CNEC) PSE wraz z wyłączeniami; dane wejściowe TSO.</p><p><strong>Ścieżka pliku:</strong> KreatorIDCF/DACF [N07/N08] → Connector 2.0 [N05] → Core CC Tool [N02] → MinIO [N04]</p><p><strong>Źródło:</strong> Kreator (N07/N08) &nbsp;|&nbsp; <strong>Profil:</strong> 2CCT &nbsp;|&nbsp; <strong>TET:</strong> 20:00 &nbsp; <strong>CET:</strong> 20:19 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"8";"PERUN_ID2";"IDCC(b) - Individual Validation";"IDCC(b)";"AGR Paczka ZIP ID2";"PERUN";"2MS";"20:40";"21:05";"1";"AGR Paczka ZIP (PERUN_ID2) — zagregowana paczka wejściowa do Perun4V (proces FBA); zawiera składowe: scalone GLSK, CGM, RefProg, początkową domenę FB, CB, wierzchołki, RA.";"Agregacja składowych → MinIO [N04] / sFTP [N12] → Perun4V [N03]";"agregacja";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">PERUN_ID2 — AGR Paczka ZIP ID2 (IDCC(b))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> AGR Paczka ZIP (PERUN_ID2) — zagregowana paczka wejściowa do Perun4V (proces FBA); zawiera składowe: scalone GLSK, CGM, RefProg, początkową domenę FB, CB, wierzchołki, RA.</p><p><strong>Ścieżka pliku:</strong> Agregacja składowych → MinIO [N04] / sFTP [N12] → Perun4V [N03]</p><p><strong>Źródło:</strong> agregacja &nbsp;|&nbsp; <strong>Profil:</strong> 2MS &nbsp;|&nbsp; <strong>TET:</strong> 20:40 &nbsp; <strong>CET:</strong> 21:05 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"9";"FID2-610";"IDCC(b) - Individual Validation";"IDCC(b)";"Merged Generation and Load Shift Keys (GLSK)";"610";"MIN";"20:40";"21:05";"1";"Merged GLSK (FID2-610) — scalone GLSK wszystkich TSO regionu Core. Składowa paczki PERUN.";"proces Core / Kreator → paczka PERUN → MinIO [N04]";"proces Core";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID2-610 — Merged Generation and Load Shift Keys (GLSK) (IDCC(b))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Merged GLSK (FID2-610) — scalone GLSK wszystkich TSO regionu Core. Składowa paczki PERUN.</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → paczka PERUN → MinIO [N04]</p><p><strong>Źródło:</strong> proces Core &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 20:40 &nbsp; <strong>CET:</strong> 21:05 &nbsp; <strong>Wersja:</strong> 1</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
"10";"FID2-620";"IDCC(b) - Individual Validation";"IDCC(b)";"Merged DACF/IDCF Common Grid Model (CGM)";"620";"MIN";"20:40";"21:05";"5";"Merged DACF/IDCF Common Grid Model (CGM, FID2-620) — scalony wspólny model sieci zbudowany z modeli indywidualnych (IGM) TSO. Składowa paczki PERUN.";"proces Core / Kreator → paczka PERUN → MinIO [N04]";"proces Core / Kreator";"Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).";"";"";"<ac:structured-macro ac:name=""panel""><ac:parameter ac:name=""title"">FID2-620 — Merged DACF/IDCF Common Grid Model (CGM) (IDCC(b))</ac:parameter><ac:rich-text-body><p><strong>Opis pliku:</strong> Merged DACF/IDCF Common Grid Model (CGM, FID2-620) — scalony wspólny model sieci zbudowany z modeli indywidualnych (IGM) TSO. Składowa paczki PERUN.</p><p><strong>Ścieżka pliku:</strong> proces Core / Kreator → paczka PERUN → MinIO [N04]</p><p><strong>Źródło:</strong> proces Core / Kreator &nbsp;|&nbsp; <strong>Profil:</strong> MIN &nbsp;|&nbsp; <strong>TET:</strong> 20:40 &nbsp; <strong>CET:</strong> 21:05 &nbsp; <strong>Wersja:</strong> 5</p><p><strong>Kontakt w przypadku awarii:</strong> Każde ryzyko należy zgłosić do: CIZ, WPO, PSE-I (PSE Innowacje).</p></ac:rich-text-body></ac:structured-macro>"
